分类: 📺频道列表, 名称: 无线新闻台, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 136 ms, 最高速率: 3.74 M/s, 平均速率: 0.00 M/s, 最高分辨率: 840x480, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺频道列表, 名称: 翡翠台, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 138 ms, 最高速率: 2.99 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺频道列表, 名称: TVBPlus, 有效: 0, IPv4: 17, IPv6: 0, 最小延迟: 106 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺频道列表, 名称: 香港卫视, 有效: 1, IPv4: 10, IPv6: 0, 最小延迟: 4 ms, 最高速率: 85.48 M/s, 平均速率: 0.20 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: rawvideo, 音频编解码器: 未知
分类: 📺频道列表, 名称: 凤凰卫视中文台, 有效: 4, IPv4: 25, IPv6: 0, 最小延迟: 103 ms, 最高速率: 5.03 M/s, 平均速率: 2.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺频道列表, 名称: 凤凰卫视香港台, 有效: 0, IPv4: 16, IPv6: 0, 最小延迟: 104 ms, 最高速率: 3.07 M/s, 平均速率: 0.00 M/s, 最高分辨率: 840x480, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺频道列表, 名称: 凤凰卫视资讯台, 有效: 4, IPv4: 24, IPv6: 0, 最小延迟: 109 ms, 最高速率: 5.35 M/s, 平均速率: 2.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺频道列表, 名称: 广东珠江, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 67 ms, 最高速率: 10.82 M/s, 平均速率: 9.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺频道列表, 名称: 广东民生, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 436 ms, 最高速率: 3.05 M/s, 平均速率: 3.05 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺频道列表, 名称: 广东体育, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 3826 ms, 最高速率: 0.11 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺频道列表, 名称: CCTV-1, 有效: 5, IPv4: 68, IPv6: 0, 最小延迟: 47 ms, 最高速率: 13.90 M/s, 平均速率: 10.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
